GameState,PossibleArrows,WinProb,TieProb
95859381526528,1;7;11;15;41;43;,0.5,0.5
95856160305152,4;6;11;14;43;44;,0,1
95858307788800,1;6;12;14;41;44;,0.5,0.5
95861529014272,1;4;11;12;41;43;,0.5,0.5
95858307796992,4;6;12;15;38;39;,1,0
95859381538816,6;7;11;15;35;38;,1,0
95861529022464,4;7;11;12;35;39;,1,0
95856160321536,4;7;12;14;38;39;,0,1
95859381547008,1;7;14;15;33;38;,0.5,0.5
95861529030656,1;4;12;15;33;39;,0.5,0.5
95856160325632,6;7;11;14;35;39;,0,1
95858307809280,1;6;14;15;33;39;,0,1
95861529034752,1;7;11;15;33;35;,0,1
95856160337920,4;6;11;12;35;38;,0,1
95858307821568,1;4;12;14;33;38;,0.5,0.5
95859381563392,1;6;11;14;33;35;,0.5,0.5
95794956861440,1;4;6;7;11;12;14;15;33;35;38;39;41;43;44;47;57;59;60;62;,0.833333,0.166667
95925953499136,4;7;14;15;44;46;,0.5,0.5
95928100982784,2;7;10;14;46;47;,1,0
95930248466432,2;4;10;15;44;47;,1,0
95924879761408,4;7;12;14;46;47;,0.5,0.5
95928100986880,1;7;14;15;41;46;,1,0
95930248470528,1;4;12;15;41;47;,0.5,0.5
95924879777792,2;7;10;12;44;47;,0,1
95925953519616,1;7;12;15;41;44;,0.5,0.5
95928101003264,1;2;10;15;41;47;,1,0
95924879781888,2;4;10;14;44;46;,1,0
95925953523712,1;4;12;14;41;46;,1,0
95930248491008,1;2;10;12;41;44;,1,0
95925953531904,4;7;12;14;38;39;,1,0
95928101015552,2;7;14;15;34;38;,1,0
95930248499200,2;4;12;15;34;39;,1,0
95924879802368,2;7;10;14;38;39;,0,1
95925953544192,1;7;14;15;33;38;,0,1
95930248511488,1;2;10;15;33;39;,0,1
95924879810560,4;7;10;12;34;39;,0.5,0.5
95925953552384,1;4;12;15;33;39;,0.5,0.5
95928101036032,1;7;10;15;33;34;,0.5,0.5
95924879814656,2;4;12;14;34;38;,0,1
95928101040128,1;2;10;14;33;38;,1,0
95930248523776,1;4;10;12;33;34;,0.5,0.5
95863676338176,1;2;4;7;10;12;14;15;33;34;38;39;41;44;46;47;57;58;60;62;,0.916667,0.0833333
95994672975872,6;7;11;15;43;46;,1,0
95995746717696,2;6;10;15;46;47;,1,0
95998967943168,2;7;10;11;43;47;,1,0
95993599238144,6;7;11;14;43;47;,0,1
